CLASS,LABEL,PATH,NUM_FRAMES,NUM_SEC,FPS
Run-Side,0,train/Run-Side/5238-17_700000_17.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_25.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_17.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_14.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_19.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_12.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_0.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_21.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_16.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_17.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_31.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_24.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_27.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_0.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_10.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_3.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_11.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_13.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_8.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_27.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_5.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_16.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_26.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_20.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_27.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_15.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_23.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_26.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_2.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_29.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_30.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_15.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_3.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_27.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_31.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_28.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_7.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_26.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_32.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_25.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_8.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_9.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_10.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_1.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700000_16.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_2.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_4.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_22.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_701581_3.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_24.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_1.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_18.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_17.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_31.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_3.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_19.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_30.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_28.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_18.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_26.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_8.mp4,65,6,10
Run-Side,0,train/Run-Side/5238-17_700950_5.mp4,65,6,10
Run-Side,0,train/Run-Side/6065-8_70110_25.mp4,65,6,10
Run-Side,0,train/Run-Side/5373-10_70026_26.mp4,65,6,10
Run-Side,0,train/Run-Side/2670-5_70111_7.mp4,65,6,10
